date,imputed_level,lower_95,upper_95
2017-07-01,3.9515888392199265,3.782559797899777,4.120617880540076
2017-12-01,4.301691371845542,4.132662330525393,4.470720413165691
2018-04-01,4.065025339644759,3.8859143824583717,4.2441362968311465
2019-01-01,3.8606925851526497,3.6933148995249185,4.028070270780381
2019-03-01,3.8886117687071846,3.722071647735678,4.055151889678691
2019-05-01,3.748853549664689,3.566838276942697,3.930868822386681
2019-06-01,3.763422998555983,3.5644946003369533,3.962351396775013
2019-07-01,3.816329232873585,3.6142759851071284,4.018382480640041
2019-08-01,3.876712915126871,3.6740575514074703,4.079368278846272
2019-09-01,3.9213784478106946,3.7186061938546557,4.124150701766733
2019-10-01,3.9333780889083334,3.7305831102559814,4.136173067560685
2019-11-01,3.900471366358953,3.6976719684545096,4.103270764263396
2019-12-01,3.827889382269773,3.625089124368097,4.030689640171449
2020-01-01,3.7376588456095914,3.5348584175578255,3.9404592736613573
2020-02-01,3.6798366957212316,3.4770362196645483,3.882637171777915
2020-03-01,3.648036196017835,3.4452356339346175,3.8508367581010527
2020-04-01,3.639360984065102,3.436560010909705,3.8421619572204984
2020-05-01,3.658974924333526,3.456171843545369,3.861778005121683
2020-06-01,3.706635807049186,3.5038218903680822,3.90944972373029
2020-07-01,3.7759998590900525,3.5731302337509114,3.9788694844291936
2020-08-01,3.851704042699957,3.6485482054018856,4.054859879998029
2020-09-01,3.9140286473551598,3.7094074333299094,4.11864986138041
2020-10-01,3.9623263849909005,3.757705177420609,4.166947592561192
2020-11-01,3.9929485735650196,3.789792776516006,4.196104370614034
2020-12-01,3.9910381726121114,3.78816875490891,4.193907590315313
2021-01-01,3.953071108391288,3.750258258797357,4.155883957985219
2021-02-01,3.892645741509571,3.6898481469097573,4.095443336109384
2021-03-01,3.813773720323053,3.6110009577929127,4.016546482853193
2021-04-01,3.751808034066659,3.5491525716119754,3.9544634965213423
2021-05-01,3.723577396373739,3.5215241295761497,3.925630663171328
2021-06-01,3.7258233709859216,3.526894969234845,3.9247517727369985
2021-07-01,3.772282161316949,3.590266888068784,3.9542974345651136
2021-09-01,3.7557305181722116,3.5723482773572965,3.9391127589871267
2021-10-01,3.719585763363712,3.518670538553454,3.9205009881739703
2021-11-01,3.7171557461614917,3.5129198349111452,3.921391657411838
2021-12-01,3.734935612583565,3.530099310682913,3.9397719144842167
2022-01-01,3.756283334669748,3.5516192520386127,3.9609474173008836
2022-02-01,3.768182194454234,3.565017939977815,3.971346448930653
2022-03-01,3.7703284535491752,3.567457089682713,3.9731998174156375
2022-04-01,3.760210720692258,3.5573959558582646,3.9630254855262517
2022-05-01,3.7669774089464294,3.5641715413733848,3.969783276519474
2022-06-01,3.8081489447021286,3.6053339488839184,4.010963940520338
2022-07-01,3.8739210947042166,3.671048498545512,4.076793690862921
2022-08-01,3.941427056382125,3.7382564659675697,4.144597646796681
2022-09-01,3.986769837027846,3.7820734141975425,4.191466259858149
2022-10-01,4.000858509375936,3.7958600444016057,4.205856974350266
2022-11-01,4.012589071226333,3.80754185793793,4.217636284514735
2022-12-01,4.0032655961885615,3.798267128011606,4.208264064365517
2023-01-01,3.954543479347603,3.7498470398688535,4.159239918826353
2023-02-01,3.8775345402488464,3.674363865999389,4.080705214498304
2023-03-01,3.8136937763462235,3.610820750978827,4.01656680171362
2023-04-01,3.753337362777333,3.550520161875519,3.9561545636791475
2023-05-01,3.714383349843559,3.511566146025378,3.9172005536617394
2023-06-01,3.718538282333706,3.5156652384919402,3.9214113261754715
2023-07-01,3.743932710919476,3.540761941137938,3.9471034807010144
2023-08-01,3.7558392507403933,3.551142323568278,3.9605361779125086
2023-09-01,3.7128063508858853,3.5078054380395214,3.917807263732249
2023-10-01,3.6598483359860414,3.454788911667453,3.86490776030463
2023-11-01,3.5789014934205077,3.3738420696341,3.7839609172069153
2023-12-01,3.4878384110730765,3.2828375015222346,3.6928393206239183
2024-01-01,3.4014579311492636,3.196761020575548,3.6061548417229794
2024-02-01,3.288302607775713,3.0851319214737436,3.4914732940776827
2024-03-01,3.1431081527246825,2.940235536251422,3.345980769197943
2024-04-01,2.9632964444132286,2.76048143622006,3.166111452606397
2024-05-01,2.84502028137638,2.6422143680912717,3.047826194661488
2024-06-01,2.8207855949052987,2.6179705985244555,3.023600591286142
2024-07-01,2.854953211659655,2.6520806582045617,3.0578257651147487
2024-08-01,2.913215781290992,2.710045418998449,3.116386143583535
2024-09-01,2.9833052255435457,2.7786099686916192,3.188000482395472
2024-10-01,3.037444090527133,2.8324514706437656,3.2424367104105007
2024-11-01,3.0795944411750127,2.8745764263060316,3.2846124560439938
2024-12-01,3.1037413939562777,2.8988887463406865,3.308594041571869
2025-01-01,3.139474918502968,2.9355083218761235,3.343441515129812
2025-02-01,3.2035394843099634,3.0040654398476208,3.403013528772306
2025-03-01,3.3651602288983566,3.1819969157702284,3.548323542026485
2025-05-01,3.567277380201453,3.3998996945737217,3.734655065829184
